0,2024-04-18 16:24:43
X1(Frequency),Y1(Xita),X2(Frequency),Y2(R)
4.0000000000e+03,1.7958886180e+02,4.0000000000e+03,2.4176622478e-03
4.7200000000e+03,1.7956814600e+02,4.7200000000e+03,2.4156186204e-03
5.5696000000e+03,1.7956650051e+02,5.5696000000e+03,2.4073089064e-03
6.5721280000e+03,1.7942128737e+02,6.5721280000e+03,2.4053627011e-03
7.7551110400e+03,1.7930272841e+02,7.7551110400e+03,2.4065482114e-03
9.1510310272e+03,1.7926721278e+02,9.1510310272e+03,2.4078369329e-03
1.0798216612e+04,1.7908545309e+02,1.0798216612e+04,2.4093969369e-03
1.2741895602e+04,1.7892993320e+02,1.2741895602e+04,2.4111305000e-03
1.5035436811e+04,1.7881065797e+02,1.5035436811e+04,2.4130198688e-03
1.7741815437e+04,1.7858239966e+02,1.7741815437e+04,2.4152092197e-03
2.0935342215e+04,1.7833924351e+02,2.0935342215e+04,2.4175955404e-03
2.4703703814e+04,1.7806569009e+02,2.4703703814e+04,2.4201790797e-03
2.9150370500e+04,1.7776700690e+02,2.9150370500e+04,2.4170954550e-03
3.4397437191e+04,1.7740582642e+02,3.4397437191e+04,2.4156656548e-03
4.0588975885e+04,1.7693292463e+02,4.0588975885e+04,2.4166416735e-03
4.7894991544e+04,1.7634861848e+02,4.7894991544e+04,2.4112147594e-03
5.6516090022e+04,1.7568912163e+02,5.6516090022e+04,2.4074911251e-03
6.6688986226e+04,1.7489837902e+02,6.6688986226e+04,2.4047061742e-03
7.8693003747e+04,1.7402847866e+02,7.8693003747e+04,2.3963332150e-03
9.2857744421e+04,1.7299327059e+02,9.2857744421e+04,2.3873693461e-03
1.0957213842e+05,1.7171890823e+02,1.0957213842e+05,2.3782774895e-03
1.2929512333e+05,1.7024526701e+02,1.2929512333e+05,2.3663831031e-03
1.5256824553e+05,1.6855484317e+02,1.5256824553e+05,2.3509791169e-03
1.8003052973e+05,1.6662609705e+02,1.8003052973e+05,2.3329670784e-03
2.1243602508e+05,1.6449144219e+02,2.1243602508e+05,2.3074844301e-03
2.5067450959e+05,1.6216266768e+02,2.5067450959e+05,2.2736337080e-03
2.9579592132e+05,1.5951430812e+02,2.9579592132e+05,2.2302735261e-03
3.4903918716e+05,1.5636177550e+02,3.4903918716e+05,2.1767930603e-03
4.1186624084e+05,1.5447299032e+02,4.1186624084e+05,2.0725919794e-03
4.8600216420e+05,1.5177380081e+02,4.8600216420e+05,1.9762857013e-03
5.7348255375e+05,1.4699853172e+02,5.7348255375e+05,1.9161837984e-03
6.7670941343e+05,1.4195321384e+02,6.7670941343e+05,1.8396900905e-03
7.9851710784e+05,1.3705708282e+02,7.9851710784e+05,1.7406326854e-03
9.4225018726e+05,1.3215633609e+02,9.4225018726e+05,1.6288321554e-03
1.1118552210e+06,1.2717227399e+02,1.1118552210e+06,1.5116164490e-03
1.3119891607e+06,1.2217049076e+02,1.3119891607e+06,1.3881689167e-03
1.5481472097e+06,1.1707799045e+02,1.5481472097e+06,1.2641794896e-03
1.8268137074e+06,1.1168586237e+02,1.8268137074e+06,1.1435457864e-03
2.1556401747e+06,1.0626124759e+02,2.1556401747e+06,1.0323075202e-03
2.5436554062e+06,1.0050933780e+02,2.5436554062e+06,9.2683139306e-04
3.0015133793e+06,9.4306844054e+01,3.0015133793e+06,8.2899994681e-04
3.5417857876e+06,8.7244627406e+01,3.5417857876e+06,7.3806929854e-04
4.1793072293e+06,7.9274148796e+01,4.1793072293e+06,6.5536494270e-04
4.9315825306e+06,6.9677474382e+01,4.9315825306e+06,5.7817285365e-04
5.8192673861e+06,5.8040175438e+01,5.8192673861e+06,5.0702163221e-04
6.8667355157e+06,4.4434962696e+01,6.8667355157e+06,4.4082756104e-04
8.1027479085e+06,2.8919456872e+01,8.1027479085e+06,3.7747041787e-04
9.5612425320e+06,1.0769676285e+01,9.5612425320e+06,3.2254012920e-04
1.0000000000e+07,-9.4985674150e+00,1.0000000000e+07,2.8992697710e-04
